"","individual.local.identifier","tag.local.identifier","study.local.timestamp","date"
"2","TEST",8589,2023-07-02 08:24:13,2023-07-02
"3","TEST",8589,2023-07-02 08:24:14,2023-07-02
"4","TEST",8589,2023-07-02 08:24:15,2023-07-02
"5","TEST",8589,2023-07-02 08:24:16,2023-07-02
"6","TEST",8589,2023-07-02 08:24:17,2023-07-02
"7","TEST",8589,2023-07-02 08:27:23,2023-07-02
"8","TEST",8589,2023-07-02 08:27:24,2023-07-02
"9","TEST",8589,2023-07-02 08:27:25,2023-07-02
"10","TEST",8589,2023-07-02 08:27:26,2023-07-02
"11","TEST",8589,2023-07-02 08:27:27,2023-07-02
"12","TEST",8589,2023-07-02 08:30:06,2023-07-02
"13","TEST",8589,2023-07-02 08:30:07,2023-07-02
"14","TEST",8589,2023-07-02 08:30:08,2023-07-02
"15","TEST",8589,2023-07-02 08:30:09,2023-07-02
"16","TEST",8589,2023-07-02 08:30:10,2023-07-02
"17","TEST",8589,2023-07-02 08:33:08,2023-07-02
"18","TEST",8589,2023-07-02 08:33:09,2023-07-02
"19","TEST",8589,2023-07-02 08:33:10,2023-07-02
"20","TEST",8589,2023-07-02 08:33:11,2023-07-02
"21","TEST",8589,2023-07-02 08:33:12,2023-07-02
"22","TEST",8589,2023-07-02 08:36:06,2023-07-02
"23","TEST",8589,2023-07-02 08:36:07,2023-07-02
"24","TEST",8589,2023-07-02 08:36:08,2023-07-02
"25","TEST",8589,2023-07-02 08:36:09,2023-07-02
"26","TEST",8589,2023-07-02 08:36:10,2023-07-02
"27","TEST",8589,2023-07-02 08:39:06,2023-07-02
"28","TEST",8589,2023-07-02 08:39:07,2023-07-02
"29","TEST",8589,2023-07-02 08:39:08,2023-07-02
"30","TEST",8589,2023-07-02 08:39:09,2023-07-02
"31","TEST",8589,2023-07-02 08:39:10,2023-07-02
"32","TEST",8589,2023-07-02 08:42:06,2023-07-02
"33","TEST",8589,2023-07-02 08:42:07,2023-07-02
"34","TEST",8589,2023-07-02 08:42:08,2023-07-02
"35","TEST",8589,2023-07-02 08:42:09,2023-07-02
"36","TEST",8589,2023-07-02 08:42:10,2023-07-02
"37","TEST",8589,2023-07-02 08:45:10,2023-07-02
"38","TEST",8589,2023-07-02 08:45:11,2023-07-02
"39","TEST",8589,2023-07-02 08:45:12,2023-07-02
"40","TEST",8589,2023-07-02 08:45:13,2023-07-02
"41","TEST",8589,2023-07-02 08:45:14,2023-07-02
"42","TEST",8589,2023-07-02 08:48:16,2023-07-02
"43","TEST",8589,2023-07-02 08:48:17,2023-07-02
"44","TEST",8589,2023-07-02 08:48:18,2023-07-02
"45","TEST",8589,2023-07-02 08:48:19,2023-07-02
"46","TEST",8589,2023-07-02 08:48:20,2023-07-02
"47","TEST",8589,2023-07-02 08:51:06,2023-07-02
"48","TEST",8589,2023-07-02 08:51:07,2023-07-02
"49","TEST",8589,2023-07-02 08:51:08,2023-07-02
"50","TEST",8589,2023-07-02 08:51:09,2023-07-02
"51","TEST",8589,2023-07-02 08:51:10,2023-07-02
"52","TEST",8589,2023-07-02 08:54:06,2023-07-02
"53","TEST",8589,2023-07-02 08:54:07,2023-07-02
"54","TEST",8589,2023-07-02 08:54:08,2023-07-02
"55","TEST",8589,2023-07-02 08:54:09,2023-07-02
"56","TEST",8589,2023-07-02 08:54:10,2023-07-02
"57","TEST",8589,2023-07-02 08:57:07,2023-07-02
"58","TEST",8589,2023-07-02 08:57:08,2023-07-02
"59","TEST",8589,2023-07-02 08:57:09,2023-07-02
"60","TEST",8589,2023-07-02 08:57:10,2023-07-02
"61","TEST",8589,2023-07-02 08:57:11,2023-07-02
"62","TEST",8589,2023-07-02 09:00:25,2023-07-02
"63","TEST",8589,2023-07-02 09:00:26,2023-07-02
"64","TEST",8589,2023-07-02 09:00:27,2023-07-02
"65","TEST",8589,2023-07-02 09:00:28,2023-07-02
"66","TEST",8589,2023-07-02 09:00:29,2023-07-02
"67","TEST",8589,2023-07-02 09:03:07,2023-07-02
"68","TEST",8589,2023-07-02 09:03:08,2023-07-02
"69","TEST",8589,2023-07-02 09:03:09,2023-07-02
"70","TEST",8589,2023-07-02 09:03:10,2023-07-02
"71","TEST",8589,2023-07-02 09:03:11,2023-07-02
"72","TEST",8589,2023-07-02 09:06:06,2023-07-02
"73","TEST",8589,2023-07-02 09:06:07,2023-07-02
"74","TEST",8589,2023-07-02 09:06:08,2023-07-02
"75","TEST",8589,2023-07-02 09:06:09,2023-07-02
"76","TEST",8589,2023-07-02 09:06:10,2023-07-02
"77","TEST",8589,2023-07-02 09:09:06,2023-07-02
"78","TEST",8589,2023-07-02 09:09:07,2023-07-02
"79","TEST",8589,2023-07-02 09:09:08,2023-07-02
"80","TEST",8589,2023-07-02 09:09:09,2023-07-02
"81","TEST",8589,2023-07-02 09:09:10,2023-07-02
"82","TEST",8589,2023-07-02 09:12:06,2023-07-02
"83","TEST",8589,2023-07-02 09:12:07,2023-07-02
"84","TEST",8589,2023-07-02 09:12:08,2023-07-02
"85","TEST",8589,2023-07-02 09:12:09,2023-07-02
"86","TEST",8589,2023-07-02 09:12:10,2023-07-02
"87","TEST",8589,2023-07-02 09:15:06,2023-07-02
"88","TEST",8589,2023-07-02 09:15:07,2023-07-02
"89","TEST",8589,2023-07-02 09:15:08,2023-07-02
"90","TEST",8589,2023-07-02 09:15:09,2023-07-02
"91","TEST",8589,2023-07-02 09:15:10,2023-07-02
"92","TEST",8589,2023-07-02 09:18:06,2023-07-02
"93","TEST",8589,2023-07-02 09:18:07,2023-07-02
"94","TEST",8589,2023-07-02 09:18:08,2023-07-02
"95","TEST",8589,2023-07-02 09:18:09,2023-07-02
"96","TEST",8589,2023-07-02 09:18:10,2023-07-02
"97","TEST",8589,2023-07-02 09:21:06,2023-07-02
"98","TEST",8589,2023-07-02 09:21:07,2023-07-02
"99","TEST",8589,2023-07-02 09:21:08,2023-07-02
"100","TEST",8589,2023-07-02 09:21:09,2023-07-02
"101","TEST",8589,2023-07-02 09:21:10,2023-07-02
"102","TEST",8589,2023-07-02 09:24:06,2023-07-02
"103","TEST",8589,2023-07-02 09:24:07,2023-07-02
"104","TEST",8589,2023-07-02 09:24:08,2023-07-02
"105","TEST",8589,2023-07-02 09:24:09,2023-07-02
"106","TEST",8589,2023-07-02 09:24:10,2023-07-02
"107","TEST",8589,2023-07-02 09:27:06,2023-07-02
"108","TEST",8589,2023-07-02 09:27:07,2023-07-02
"109","TEST",8589,2023-07-02 09:27:08,2023-07-02
"110","TEST",8589,2023-07-02 09:27:09,2023-07-02
"111","TEST",8589,2023-07-02 09:27:10,2023-07-02
"112","TEST",8589,2023-07-02 09:30:06,2023-07-02
"113","TEST",8589,2023-07-02 09:30:07,2023-07-02
"114","TEST",8589,2023-07-02 09:30:08,2023-07-02
"115","TEST",8589,2023-07-02 09:30:09,2023-07-02
"116","TEST",8589,2023-07-02 09:30:10,2023-07-02
"117","TEST",8589,2023-07-02 09:33:06,2023-07-02
"118","TEST",8589,2023-07-02 09:33:07,2023-07-02
"119","TEST",8589,2023-07-02 09:33:08,2023-07-02
"120","TEST",8589,2023-07-02 09:33:09,2023-07-02
"121","TEST",8589,2023-07-02 09:33:10,2023-07-02
"122","TEST",8589,2023-07-02 09:36:06,2023-07-02
"123","TEST",8589,2023-07-02 09:36:07,2023-07-02
"124","TEST",8589,2023-07-02 09:36:08,2023-07-02
"125","TEST",8589,2023-07-02 09:36:09,2023-07-02
"126","TEST",8589,2023-07-02 09:36:10,2023-07-02
"127","TEST",8589,2023-07-02 09:39:14,2023-07-02
"128","TEST",8589,2023-07-02 09:39:15,2023-07-02
"129","TEST",8589,2023-07-02 09:39:16,2023-07-02
"130","TEST",8589,2023-07-02 09:39:17,2023-07-02
"131","TEST",8589,2023-07-02 09:39:18,2023-07-02
"132","TEST",8589,2023-07-02 09:42:07,2023-07-02
"133","TEST",8589,2023-07-02 09:42:08,2023-07-02
"134","TEST",8589,2023-07-02 09:42:09,2023-07-02
"135","TEST",8589,2023-07-02 09:42:10,2023-07-02
"136","TEST",8589,2023-07-02 09:42:11,2023-07-02
"137","TEST",8589,2023-07-02 09:45:08,2023-07-02
"138","TEST",8589,2023-07-02 09:45:09,2023-07-02
"139","TEST",8589,2023-07-02 09:45:10,2023-07-02
"140","TEST",8589,2023-07-02 09:45:11,2023-07-02
"141","TEST",8589,2023-07-02 09:45:12,2023-07-02
"142","TEST",8589,2023-07-02 09:48:06,2023-07-02
"143","TEST",8589,2023-07-02 09:48:07,2023-07-02
"144","TEST",8589,2023-07-02 09:48:08,2023-07-02
"145","TEST",8589,2023-07-02 09:48:09,2023-07-02
"146","TEST",8589,2023-07-02 09:48:10,2023-07-02
"147","TEST",8589,2023-07-02 09:51:09,2023-07-02
"148","TEST",8589,2023-07-02 09:51:10,2023-07-02
"149","TEST",8589,2023-07-02 09:51:11,2023-07-02
"150","TEST",8589,2023-07-02 09:51:12,2023-07-02
"151","TEST",8589,2023-07-02 09:51:13,2023-07-02
"152","TEST",8589,2023-07-02 09:54:06,2023-07-02
"153","TEST",8589,2023-07-02 09:54:07,2023-07-02
"154","TEST",8589,2023-07-02 09:54:08,2023-07-02
"155","TEST",8589,2023-07-02 09:54:09,2023-07-02
"156","TEST",8589,2023-07-02 09:54:10,2023-07-02
"157","TEST",8589,2023-07-02 09:57:06,2023-07-02
"158","TEST",8589,2023-07-02 09:57:07,2023-07-02
"159","TEST",8589,2023-07-02 09:57:08,2023-07-02
"160","TEST",8589,2023-07-02 09:57:09,2023-07-02
"161","TEST",8589,2023-07-02 09:57:10,2023-07-02
"162","TEST",8589,2023-07-02 10:00:09,2023-07-02
"163","TEST",8589,2023-07-02 10:00:10,2023-07-02
"164","TEST",8589,2023-07-02 10:00:11,2023-07-02
"165","TEST",8589,2023-07-02 10:00:12,2023-07-02
"166","TEST",8589,2023-07-02 10:00:13,2023-07-02
"167","TEST",8589,2023-07-02 10:03:10,2023-07-02
"168","TEST",8589,2023-07-02 10:03:11,2023-07-02
"169","TEST",8589,2023-07-02 10:03:12,2023-07-02
"170","TEST",8589,2023-07-02 10:03:13,2023-07-02
"171","TEST",8589,2023-07-02 10:03:14,2023-07-02
"172","TEST",8589,2023-07-02 10:06:07,2023-07-02
"173","TEST",8589,2023-07-02 10:06:08,2023-07-02
"174","TEST",8589,2023-07-02 10:06:09,2023-07-02
"175","TEST",8589,2023-07-02 10:06:10,2023-07-02
"176","TEST",8589,2023-07-02 10:06:11,2023-07-02
"177","TEST",8589,2023-07-02 10:09:08,2023-07-02
"178","TEST",8589,2023-07-02 10:09:09,2023-07-02
"179","TEST",8589,2023-07-02 10:09:10,2023-07-02
"180","TEST",8589,2023-07-02 10:09:11,2023-07-02
"181","TEST",8589,2023-07-02 10:09:12,2023-07-02
"182","TEST",8589,2023-07-02 10:12:06,2023-07-02
"183","TEST",8589,2023-07-02 10:12:07,2023-07-02
"184","TEST",8589,2023-07-02 10:12:08,2023-07-02
"185","TEST",8589,2023-07-02 10:12:09,2023-07-02
"186","TEST",8589,2023-07-02 10:12:10,2023-07-02
"187","TEST",8589,2023-07-02 10:15:08,2023-07-02
"188","TEST",8589,2023-07-02 10:15:09,2023-07-02
"189","TEST",8589,2023-07-02 10:15:10,2023-07-02
"190","TEST",8589,2023-07-02 10:15:11,2023-07-02
"191","TEST",8589,2023-07-02 10:15:12,2023-07-02
"192","TEST",8589,2023-07-02 10:18:09,2023-07-02
"193","TEST",8589,2023-07-02 10:18:10,2023-07-02
"194","TEST",8589,2023-07-02 10:18:11,2023-07-02
"195","TEST",8589,2023-07-02 10:18:12,2023-07-02
"196","TEST",8589,2023-07-02 10:18:13,2023-07-02
"197","TEST",8589,2023-07-02 10:21:09,2023-07-02
"198","TEST",8589,2023-07-02 10:21:10,2023-07-02
"199","TEST",8589,2023-07-02 10:21:11,2023-07-02
"200","TEST",8589,2023-07-02 10:21:12,2023-07-02
"201","TEST",8589,2023-07-02 10:21:13,2023-07-02
"202","TEST",8589,2023-07-02 10:24:10,2023-07-02
"203","TEST",8589,2023-07-02 10:24:11,2023-07-02
"204","TEST",8589,2023-07-02 10:24:12,2023-07-02
"205","TEST",8589,2023-07-02 10:24:13,2023-07-02
"206","TEST",8589,2023-07-02 10:24:14,2023-07-02
"207","TEST",8589,2023-07-02 10:27:06,2023-07-02
"208","TEST",8589,2023-07-02 10:27:07,2023-07-02
"209","TEST",8589,2023-07-02 10:27:08,2023-07-02
"210","TEST",8589,2023-07-02 10:27:09,2023-07-02
"211","TEST",8589,2023-07-02 10:27:10,2023-07-02
"212","TEST",8589,2023-07-02 10:30:09,2023-07-02
"213","TEST",8589,2023-07-02 10:30:10,2023-07-02
"214","TEST",8589,2023-07-02 10:30:11,2023-07-02
"215","TEST",8589,2023-07-02 10:30:12,2023-07-02
"216","TEST",8589,2023-07-02 10:30:13,2023-07-02
"217","TEST",8589,2023-07-02 10:33:09,2023-07-02
"218","TEST",8589,2023-07-02 10:33:10,2023-07-02
"219","TEST",8589,2023-07-02 10:33:11,2023-07-02
