"","id","group","year","hr_area","intersect_area","prop_river","mean_mei","median_mei","group_index"
"1","aa_1991","aa","1991",2796039.6499119,751499.742467321,0.268772920473785,0.6775,0.695,1
"2","aa_1992","aa","1992",2795142.1515445,730077.315616289,0.261195057722869,1.18916666666667,1.23,1
"3","aa_1993","aa","1993",2270295.47417095,778786.009682476,0.343032886486667,0.8475,0.88,1
"4","aa_1997","aa","1997",3945484.88406804,1121888.23866604,0.284347367086934,1.17833333333333,1.94,1
"5","aa_1999","aa","1999",7576281.64787776,2207450.5768896,0.291363320357546,-1.23166666666667,-1.205,1
"6","aa_2001","aa","2001",8212154.81512896,1893230.06913141,0.230539987585668,-0.421666666666667,-0.465,1
"7","aa_2002","aa","2002",9594427.07752377,2027431.18746024,0.21131341882933,0.285833333333333,0.405,1
"8","aa_2003","aa","2003",8249535.54613697,2230209.85004437,0.270343686328949,0.160833333333333,0.16,1
"9","aa_2004","aa","2004",4065366.25958453,814400.097821339,0.200326377949663,0.129166666666667,0.21,1
"10","aa_2005","aa","2005",4691046.61954056,1110774.58797934,0.236786090198381,-0.0575,0.035,1
"11","aa_2006","aa","2006",3558443.73043732,859517.484037596,0.241543087132634,0.04,0.045,1
"12","aa_2007","aa","2007",3418777.24409361,857227.302304793,0.250740905622256,-0.625833333333333,-0.775,1
"13","aa_2008","aa","2008",4849637.13359602,1088503.55876047,0.224450516353034,-1.10583333333333,-1.1,1
"14","aa_2009","aa","2009",3717792.7416137,856101.833947878,0.2302715329893,0.0466666666666667,0.33,1
"15","cu_2007","cu","2007",348963.666680234,55625.6178028302,0.159402319250049,-0.625833333333333,-0.775,3
"16","cu_2008","cu","2008",1235028.81494881,128860.28063062,0.104337873797675,-1.10583333333333,-1.1,3
"17","cu_2009","cu","2009",1089987.29996944,190063.639360502,0.174372343022557,0.0466666666666667,0.33,3
"18","ff_2002","ff","2002",2955274.96322908,641768.374846717,0.217160292301698,0.285833333333333,0.405,5
"19","ff_2003","ff","2003",2524639.61091594,430340.992877832,0.170456405348763,0.160833333333333,0.16,5
"20","ff_2004","ff","2004",2902310.91950125,588724.83796539,0.2028469224333,0.129166666666667,0.21,5
"21","ff_2005","ff","2005",3322353.29683427,585427.012560343,0.176208536617154,-0.0575,0.035,5
"22","ff_2006","ff","2006",4935791.95521627,1084614.11644791,0.219744698781653,0.04,0.045,5
"23","ff_2007","ff","2007",4696166.29711807,666298.209649554,0.141881306472994,-0.625833333333333,-0.775,5
"24","ff_2008","ff","2008",3167127.94821831,469690.860532401,0.148301826832298,-1.10583333333333,-1.1,5
"25","ff_2009","ff","2009",2702679.57824877,434331.783063,0.160704134725593,0.0466666666666667,0.33,5
"26","fl_2003","fl","2003",9940163.88764029,2142102.22646871,0.215499689007364,0.160833333333333,0.16,6
"27","fl_2004","fl","2004",2036607.85175471,660142.481572825,0.324138238494983,0.129166666666667,0.21,6
"28","fl_2005","fl","2005",5722333.3333288,1355677.19251599,0.236909860636757,-0.0575,0.035,6
"29","fl_2006","fl","2006",7143777.81743831,1543208.27670824,0.21602131479246,0.04,0.045,6
"30","fl_2007","fl","2007",5379074.62754849,1374474.85115034,0.255522547337618,-0.625833333333333,-0.775,6
"31","fl_2008","fl","2008",6709250.22004323,1506128.31206568,0.224485339295629,-1.10583333333333,-1.1,6
"32","fl_2009","fl","2009",3720062.95246869,1166378.29766354,0.313537247236506,0.0466666666666667,0.33,6
"33","mk_2004","mk","2004",2991659.30926582,492440.820329217,0.164604578737967,0.129166666666667,0.21,8
"34","mk_2005","mk","2005",3674311.36826087,599329.329778157,0.163113375462742,-0.0575,0.035,8
"35","mk_2006","mk","2006",5002553.67581298,640933.472123143,0.128121258392891,0.04,0.045,8
"36","mk_2007","mk","2007",2482659.82940718,395637.446031682,0.159360312413865,-0.625833333333333,-0.775,8
"37","mk_2008","mk","2008",3535547.03487579,466010.128717101,0.131807079391173,-1.10583333333333,-1.1,8
"38","mk_2009","mk","2009",3319691.67987967,414033.848154248,0.124720572896473,0.0466666666666667,0.33,8
"39","nm_2009","nm","2009",2257491.67332588,195707.972649677,0.0866926664501702,0.0466666666666667,0.33,9
"40","rf_2007","rf","2007",829022.959321295,122084.199249089,0.147262748125863,-0.625833333333333,-0.775,10
"41","rf_2008","rf","2008",826923.441127737,140610.715419574,0.170040790266887,-1.10583333333333,-1.1,10
"42","rf_2009","rf","2009",657369.236208063,81763.9738749537,0.124380590650389,0.0466666666666667,0.33,10
"43","rr_1997","rr","1997",1305142.46535409,431436.090423328,0.330566280598553,1.17833333333333,1.94,11
"44","rr_1999","rr","1999",2290603.2716935,868413.131909192,0.379119833906092,-1.23166666666667,-1.205,11
"45","rr_2001","rr","2001",2287441.51837721,691884.377213352,0.302470848611771,-0.421666666666667,-0.465,11
"46","rr_2002","rr","2002",4577403.8295471,1130058.32597629,0.246877568171236,0.285833333333333,0.405,11
"47","rr_2003","rr","2003",3672745.93953042,886754.048790088,0.241441706938069,0.160833333333333,0.16,11
"48","rr_2004","rr","2004",2829241.91359411,806853.849056342,0.285183760773344,0.129166666666667,0.21,11
"49","rr_2005","rr","2005",1919259.14004315,560625.696168869,0.292105263157045,-0.0575,0.035,11
"50","rr_2006","rr","2006",1401460.19702372,462809.11891535,0.330233509234309,0.04,0.045,11
"51","rr_2007","rr","2007",1312068.35333791,478157.196462598,0.364430096378869,-0.625833333333333,-0.775,11
"52","rr_2008","rr","2008",1676769.94099262,632943.944395092,0.377478107712499,-1.10583333333333,-1.1,11
"53","rr_2009","rr","2009",2351331.35685191,702986.460424361,0.298973795580031,0.0466666666666667,0.33,11
"54","sp_2009","sp","2009",1364368.11105211,476217.386550599,0.349038784103045,0.0466666666666667,0.33,12
"55","aa_2010","aa","2010",4119574.66783642,1060025.90428438,0.257314404945863,-0.97,-1.82,1
"56","aa_2011","aa","2011",4889598.00479095,1126551.29917796,0.230397529218994,-1.38333333333333,-1.34,1
"57","aa_2012","aa","2012",2778300.58541433,822888.510667911,0.296184118805559,-0.308333333333333,-0.26,1
"58","aa_2013","aa","2013",3548604.10907533,778367.348406708,0.219344656231469,-0.405833333333333,-0.315,1
"59","aa_2014","aa","2014",4003597.97159403,963488.791542724,0.240655729765771,-0.04,-0.055,1
"60","aa_2015","aa","2015",2861261.53725267,864509.967807184,0.302142938194063,1.27083333333333,1.7,1
"61","aa_2016","aa","2016",4309267.21009359,996125.659963465,0.231158944525473,0.463333333333333,0,1
"62","aa_2017","aa","2017",1287058.88766238,308766.656364644,0.239900955056875,-0.534166666666667,-0.555,1
"63","aa_2018","aa","2018",1471261.95826818,409661.890624685,0.278442522300311,-0.358333333333333,-0.475,1
