# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = mei_hr_model
# start_datetime = 2024-11-09 16:30:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 11
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpEx394J/standata-214b7c601103c8.json
# init = 0
# random
#   seed = 232
# output
#   file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/mei_hr-202411091730-1-2550f4.csv
#   diagnostic_file =  (Default)
#   refresh = 250
#   sig_figs = -1 (Default)
#   profile_file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/mei_hr-profile-202411091730-1-6fbed2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --O1 --name=mei_hr_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,am.1,am.2,am.3,am.4,am.5,am.6,am.7,am.8,am.9,am.10,am.11,am.12,am.13,am.14,am.15,am.16,am.17,am.18,am.19,am.20,am.21,am.22,am.23,am.24,am_pred.1,am_pred.2,am_pred.3,am_pred.4,am_pred.5,am_pred.6,am_pred.7,am_pred.8,am_pred.9,am_pred.10,am_pred.11,am_pred.12,am_pred.13,am_pred.14,am_pred.15,am_pred.16,am_pred.17,am_pred.18,am_pred.19,am_pred.20,am_pred.21,am_pred.22,am_pred.23,am_pred.24,z_g.1.1,z_g.2.1,z_g.1.2,z_g.2.2,z_g.1.3,z_g.2.3,z_g.1.4,z_g.2.4,z_g.1.5,z_g.2.5,z_g.1.6,z_g.2.6,z_g.1.7,z_g.2.7,z_g.1.8,z_g.2.8,z_g.1.9,z_g.2.9,z_g.1.10,z_g.2.10,z_g.1.11,z_g.2.11,v_mu.1,v_mu.2,L_Rho_g.1.1,L_Rho_g.2.1,L_Rho_g.1.2,L_Rho_g.2.2,sigma_g.1,sigma_g.2,k,v.1.1,v.2.1,v.3.1,v.4.1,v.5.1,v.6.1,v.7.1,v.8.1,v.9.1,v.10.1,v.11.1,v.1.2,v.2.2,v.3.2,v.4.2,v.5.2,v.6.2,v.7.2,v.8.2,v.9.2,v.10.2,v.11.2,Rho_g.1.1,Rho_g.2.1,Rho_g.1.2,Rho_g.2.2
-318.296,0.933333,0.0625,4,15,0,402.95,0.918905,0.0616007,0.204131,0.0844029,0.211107,0.0324118,-0.0444347,0.0734561,-0.0182217,-0.0028464,-0.460618,0.351605,-0.250754,-0.306417,-0.0752583,-0.0391408,-0.448009,0.00697221,-0.168286,-0.113651,0.0267038,-0.114519,-0.357495,-0.105541,0.00606131,-0.134652,-0.0953266,-0.108551,0.427398,0.0353152,0.072232,-0.13005,-0.00262574,-0.23751,-0.187709,0.235264,0.254845,-0.14981,0.0258029,-0.0952348,-0.00658741,-0.0407701,0.186608,-0.183215,-0.32106,-0.0639838,-0.220046,-0.0680521,0.317155,0.417259,0.329712,-0.224458,0.21649,-0.195963,0.0114917,0.0667935,0.118058,0.185842,-0.151508,0.416795,-0.0907715,0.236361,-0.0782008,0.0393595,0.0712647,0.0741356,0.0528215,-0.0533811,-0.184918,0.170054,0.0538401,0.958997,-0.151152,1,0.0545695,0,0.99851,1.29565,1.16718,1.26773,0.540623,-0.29082,-0.2539,0.0865413,0.240786,0.540022,0.306242,0.0509963,0.0960541,-0.0691634,0.220331,0.410836,0.23801,0.000911541,0.141844,-0.164737,-0.079242,-0.076084,0.0855617,0.0662822,-0.218911,0.0735785,1,0.0545695,0.0545695,1
-318.296,0,9.021,0,1,1,357.618,0.918905,0.0616007,0.204131,0.0844029,0.211107,0.0324118,-0.0444347,0.0734561,-0.0182217,-0.0028464,-0.460618,0.351605,-0.250754,-0.306417,-0.0752583,-0.0391408,-0.448009,0.00697221,-0.168286,-0.113651,0.0267038,-0.114519,-0.357495,-0.105541,0.00606131,-0.134652,-0.0953266,-0.108551,0.427398,0.0353152,0.072232,-0.13005,-0.00262574,-0.23751,-0.187709,0.235264,0.254845,-0.14981,0.0258029,-0.0952348,-0.00658741,-0.0407701,0.186608,-0.183215,-0.32106,-0.0639838,-0.220046,-0.0680521,0.317155,0.417259,0.329712,-0.224458,0.21649,-0.195963,0.0114917,0.0667935,0.118058,0.185842,-0.151508,0.416795,-0.0907715,0.236361,-0.0782008,0.0393595,0.0712647,0.0741356,0.0528215,-0.0533811,-0.184918,0.170054,0.0538401,0.958997,-0.151152,1,0.0545695,0,0.99851,1.29565,1.16718,1.26773,0.540623,-0.29082,-0.2539,0.0865413,0.240786,0.540022,0.306242,0.0509963,0.0960541,-0.0691634,0.220331,0.410836,0.23801,0.000911541,0.141844,-0.164737,-0.079242,-0.076084,0.0855617,0.0662822,-0.218911,0.0735785,1,0.0545695,0.0545695,1
-318.296,0,0.848376,0,1,1,349.627,0.918905,0.0616007,0.204131,0.0844029,0.211107,0.0324118,-0.0444347,0.0734561,-0.0182217,-0.0028464,-0.460618,0.351605,-0.250754,-0.306417,-0.0752583,-0.0391408,-0.448009,0.00697221,-0.168286,-0.113651,0.0267038,-0.114519,-0.357495,-0.105541,0.00606131,-0.134652,-0.0953266,-0.108551,0.427398,0.0353152,0.072232,-0.13005,-0.00262574,-0.23751,-0.187709,0.235264,0.254845,-0.14981,0.0258029,-0.0952348,-0.00658741,-0.0407701,0.186608,-0.183215,-0.32106,-0.0639838,-0.220046,-0.0680521,0.317155,0.417259,0.329712,-0.224458,0.21649,-0.195963,0.0114917,0.0667935,0.118058,0.185842,-0.151508,0.416795,-0.0907715,0.236361,-0.0782008,0.0393595,0.0712647,0.0741356,0.0528215,-0.0533811,-0.184918,0.170054,0.0538401,0.958997,-0.151152,1,0.0545695,0,0.99851,1.29565,1.16718,1.26773,0.540623,-0.29082,-0.2539,0.0865413,0.240786,0.540022,0.306242,0.0509963,0.0960541,-0.0691634,0.220331,0.410836,0.23801,0.000911541,0.141844,-0.164737,-0.079242,-0.076084,0.0855617,0.0662822,-0.218911,0.0735785,1,0.0545695,0.0545695,1
-228.848,0.965724,0.0439586,4,15,0,346.276,0.700917,0.501737,1.36049,1.02813,1.64994,-1.58713,-0.819393,0.52369,0.134409,0.106218,-0.169481,-0.211088,-0.669818,-1.10867,-0.0343133,-1.10858,-1.59294,-0.17927,-0.476137,-0.165425,1.74352,0.623809,-0.33964,-0.29768,0.527694,-0.132049,-0.877995,0.116708,0.146525,-0.201955,0.407502,0.0905174,0.220982,0.326395,0.0662995,0.21561,-0.0310821,-0.385207,-0.470062,-0.0886719,0.0336701,0.267944,-0.608128,-0.324049,-0.30288,0.442297,-0.126719,0.291769,-0.311955,0.693157,0.634482,0.044471,0.0645889,-0.253917,0.095225,0.0249227,0.254711,0.439237,-0.645961,0.862022,0.209411,0.282693,0.045096,0.235724,0.28513,-0.0327556,0.274164,0.21005,0.23164,-0.286799,0.10753,0.337767,0.0875549,1,0.0820324,0,0.99663,1.16695,0.609383,0.315927,0.808878,0.0518953,-0.296308,0.0290835,0.512566,1.00593,0.329888,0.275077,-0.038224,0.245118,-0.334679,0.41999,0.0414498,0.0451398,0.155939,-0.370354,0.170273,0.0415197,0.184951,0.16487,0.151182,0.050969,1,0.0820324,0.0820324,1
-231.847,0.904245,0.0277138,7,127,0,275.18,0.759864,0.548308,0.740372,0.466051,0.50859,-0.979585,0.412033,0.484351,0.375779,0.136562,0.159726,0.145866,-0.421176,-0.631076,-0.181328,-0.561326,-0.703136,-0.502146,-0.237047,0.0771818,0.564914,0.379045,-0.720575,-0.390359,0.0146455,0.0336192,2.02808,0.0129412,0.667722,-0.195594,1.05106,3.51533,2.24172,-0.593528,0.493918,0.571241,-0.944653,-0.184062,-1.04512,-1.68091,-0.87846,-1.37963,-0.267487,-0.0589601,-0.536364,0.000552115,-1.32905,-1.17706,-1.58008,1.33552,0.612703,-0.228493,0.419089,-1.43423,0.481846,-1.13743,-0.930584,0.38554,0.136307,2.40731,0.831043,1.35646,0.968385,0.148682,-0.360264,0.115089,-0.356183,-0.477487,0.00229211,-0.554444,0.913434,0.647701,0.21028,1,0.103247,0,0.994656,0.367016,0.0205355,0.264144,0.490157,-0.0838605,-0.526383,-0.417453,0.141499,0.883521,0.497842,0.0545685,0.0422394,-0.175245,-0.20349,0.0153465,0.00807576,0.00680119,-0.0214195,0.00360161,0.0220788,0.022656,-0.00704344,-0.0070313,-0.000965567,0.017482,1,0.103247,0.103247,1
-234.017,0.688747,0.016612,7,127,0,284.637,0.695654,0.546071,1.50134,1.13318,1.77863,-1.3366,-0.869209,0.784855,0.210617,0.0598262,-0.112868,0.132684,-0.687459,-1.22008,0.0131578,-1.2356,-1.63324,-0.270456,-0.580561,-0.0285638,1.69727,0.440625,-0.268202,-0.11715,0.478734,0.747108,1.48452,0.400814,0.421963,-0.653563,1.50068,2.85056,2.31286,-0.389188,-0.250567,1.48101,-0.175455,0.924226,0.293566,-0.505876,-0.0905653,-1.5964,-0.682076,-0.172039,-0.0510762,0.226434,-0.618196,-0.149499,-0.828416,1.18431,0.832116,-0.443976,-0.656972,-0.581952,0.259031,-0.767934,-1.88238,0.726034,0.510894,1.66355,0.294787,0.849143,0.0421737,0.538002,-0.685811,-0.556814,-0.309002,0.271552,-0.197333,0.0153766,0.868687,0.479781,0.255513,1,0.527765,0,0.849391,0.476548,0.0148259,0.374377,0.56438,-0.211576,-0.277328,-0.365958,0.34599,0.792763,0.404657,0.256384,-0.265349,0.129407,0.00732768,0.0197455,-0.0117472,-0.00129156,-0.0297134,0.0121146,0.0167288,0.00717527,-0.00442675,-0.00824807,-0.000360225,0.0110597,1,0.527765,0.527765,1
-202.919,0.998159,0.00555698,9,1023,0,263.279,0.614984,0.592923,1.09075,0.888855,0.983832,-0.949821,0.110782,0.32436,0.266573,0.482963,-0.0447677,-0.0381388,-0.713161,-0.833144,-0.0752406,-1.00454,-1.07118,-0.338711,-0.368002,-0.164572,0.82795,0.514856,-0.633224,-0.279916,0.346321,0.361951,1.21706,-0.243398,0.503075,-0.123138,0.462565,1.45755,1.59196,-0.162112,0.807444,0.345831,-0.0539577,-0.502589,-0.196455,-0.781012,-0.673384,-0.531168,0.259384,-0.0527346,0.465812,-0.389755,-0.370108,-0.179674,-0.539923,1.07376,-0.28884,0.197658,-1.18921,-0.773771,0.0154277,-0.660385,-1.72129,0.173496,0.00700899,1.70736,0.530196,0.929882,-0.622079,0.0681283,-0.663893,0.121724,0.127855,-0.757125,-0.145463,-0.588478,0.0852506,0.633585,0.336803,1,-0.0688272,0,0.997629,0.474819,0.00196468,0.424395,0.509842,0.0938516,-0.367401,-0.313563,0.0823789,0.810687,0.441525,0.0323486,0.0577968,-0.359497,-0.27942,-0.000711329,-0.0023576,0.00013487,-0.00328447,-9.7229e-06,0.000808319,-0.00134503,-0.00131046,0.000234138,-0.000182729,0.000246669,1,-0.0688272,-0.0688272,1
-193.013,0.999758,0.00503357,10,2047,0,233.975,0.628719,0.592754,1.10144,0.669276,1.38934,-1.10712,-0.0134794,0.641312,0.388282,0.0591933,0.055391,0.0975237,-0.368885,-0.899177,-0.216638,-0.837972,-1.04095,-0.511867,-0.210878,-0.149911,1.34491,0.711484,-0.438756,-0.37452,0.118273,0.674621,0.113945,0.352198,0.0978335,0.28764,0.830106,1.89448,0.560758,0.490013,-0.0881731,0.351648,-0.480713,0.155991,0.578381,-0.0873457,-0.490792,-0.307834,0.122715,0.322082,0.134808,0.543479,-1.15343,-0.773607,-0.417295,0.517757,0.685944,-0.707422,0.50758,-1.50766,0.128062,-0.288656,0.85302,-0.18832,1.1813,1.09564,-0.255829,0.12589,-0.483958,-0.0718849,-0.279914,-0.908826,-0.000101041,-0.661457,0.926112,-0.0450118,-0.37858,0.76358,0.0649077,1,0.134568,0,0.990904,0.583124,0.396963,0.316042,0.301916,-0.412515,-0.879154,-0.168322,-0.109814,0.638895,0.0734092,-0.0419178,-0.529958,-0.385711,-0.0262475,0.297475,0.161868,-0.0301637,0.320118,0.454609,-0.0421035,-0.183641,-0.113945,-0.0485879,0.328954,-0.15132,1,0.134568,0.134568,1
-201.243,0.999519,0.00482342,9,511,0,229.727,0.659018,0.643802,0.954065,0.768791,0.944008,-1.02136,-0.497842,0.377012,-0.127419,0.186935,0.0428936,-0.0413768,-0.801255,-0.981058,0.327796,-0.843814,-1.18345,-0.180993,-0.430723,0.156423,0.973023,0.381086,-0.658739,-0.286681,0.512922,0.716278,0.455157,0.264032,-0.0374132,0.404942,0.501184,1.75679,0.864736,0.578393,1.09048,-0.469805,-0.53352,-0.254879,0.0241142,0.367131,0.256075,-1.01582,-0.431424,-0.0499373,-0.264986,0.516674,-0.90098,-1.11336,0.0548871,0.508501,1.46957,-1.01317,0.084723,-2.30146,-0.417109,-1.1078,1.28022,-0.235399,0.852001,1.02549,-1.3206,0.282362,-1.39092,-0.650378,0.817135,-0.618487,-1.00649,-0.613742,0.726188,-1.79387,-0.194751,0.894719,0.211027,1,-0.0516983,0,0.998663,0.46483,0.189311,0.324721,0.236367,-0.470952,-1.06979,-0.51494,-0.10942,0.476679,0.13125,-0.302315,-0.287491,-0.285286,-0.833845,0.272856,0.0259335,-0.0563332,0.252877,0.163381,-0.259707,-0.265727,0.160851,-0.184232,0.143298,-0.0192625,1,-0.0516983,-0.0516983,1
-200.282,0.998933,0.00479039,9,1023,0,244.408,0.670422,0.385922,0.879614,0.681,1.05101,-1.00779,-0.519056,0.336738,-0.0179732,0.155338,0.247716,0.131511,-0.614081,-0.881498,0.234069,-0.857931,-1.2796,-0.160608,-0.394333,0.21128,1.10182,0.0994767,-0.640813,-0.102282,0.235424,-0.667351,0.140928,-0.0937351,0.313973,0.0923706,0.786963,1.70581,1.35876,0.293085,-0.527952,0.149242,-0.204945,0.104648,0.138368,-0.690024,-0.407682,-0.322991,0.0942845,0.0967028,0.138614,-0.640127,-1.59586,-0.257371,-0.876118,0.874065,1.77034,-0.621778,1.08149,-0.726276,-0.247523,-1.08617,-0.961458,0.300503,-0.409421,1.08988,-1.19668,0.260167,-1.78541,-0.470969,0.830342,-0.808706,-1.10233,-0.173398,2.24604,-0.188029,-0.361563,0.720251,0.154888,1,0.189515,0,0.981878,0.527948,0.158399,0.362695,0.461461,-0.328266,-0.383436,-0.573439,0.15865,0.575401,0.137355,-0.248647,-0.426954,-0.0915452,-0.0992692,0.301577,0.149538,-0.0602989,-0.18214,-0.0546559,-0.153401,-0.269873,0.115004,-0.195719,0.344117,-0.0618778,1,0.189515,0.189515,1
