# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = mei_hr_model
# start_datetime = 2024-11-09 16:30:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 11
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpEx394J/standata-214b7c601103c8.json
# init = 0
# random
#   seed = 232
# output
#   file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/mei_hr-202411091730-4-2550f4.csv
#   diagnostic_file =  (Default)
#   refresh = 250
#   sig_figs = -1 (Default)
#   profile_file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/mei_hr-profile-202411091730-4-6fbed2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --O1 --name=mei_hr_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,am.1,am.2,am.3,am.4,am.5,am.6,am.7,am.8,am.9,am.10,am.11,am.12,am.13,am.14,am.15,am.16,am.17,am.18,am.19,am.20,am.21,am.22,am.23,am.24,am_pred.1,am_pred.2,am_pred.3,am_pred.4,am_pred.5,am_pred.6,am_pred.7,am_pred.8,am_pred.9,am_pred.10,am_pred.11,am_pred.12,am_pred.13,am_pred.14,am_pred.15,am_pred.16,am_pred.17,am_pred.18,am_pred.19,am_pred.20,am_pred.21,am_pred.22,am_pred.23,am_pred.24,z_g.1.1,z_g.2.1,z_g.1.2,z_g.2.2,z_g.1.3,z_g.2.3,z_g.1.4,z_g.2.4,z_g.1.5,z_g.2.5,z_g.1.6,z_g.2.6,z_g.1.7,z_g.2.7,z_g.1.8,z_g.2.8,z_g.1.9,z_g.2.9,z_g.1.10,z_g.2.10,z_g.1.11,z_g.2.11,v_mu.1,v_mu.2,L_Rho_g.1.1,L_Rho_g.2.1,L_Rho_g.1.2,L_Rho_g.2.2,sigma_g.1,sigma_g.2,k,v.1.1,v.2.1,v.3.1,v.4.1,v.5.1,v.6.1,v.7.1,v.8.1,v.9.1,v.10.1,v.11.1,v.1.2,v.2.2,v.3.2,v.4.2,v.5.2,v.6.2,v.7.2,v.8.2,v.9.2,v.10.2,v.11.2,Rho_g.1.1,Rho_g.2.1,Rho_g.1.2,Rho_g.2.2
-261.267,0.8,0.0625,4,15,0,397.07,0.685943,0.661394,1.6143,1.10368,1.70717,-1.98407,-0.645248,0.543306,0.323523,0.124027,0.0565206,0.0769616,-0.999201,-1.48468,-0.162758,-1.27855,-1.79607,-0.305889,-0.690448,-0.0621798,1.84656,0.570815,-0.76506,-0.373217,0.325333,-0.21213,-0.426204,0.486323,-0.102027,0.253072,0.53086,0.27401,0.0724631,0.0607896,0.170073,-0.427441,0.0213554,0.0344644,0.158496,-0.345269,0.14936,-0.258232,-0.297269,-0.161365,-0.0665253,-0.556455,-0.232033,-0.594261,-0.435214,0.321783,-0.0358918,-0.546993,0.0566609,-0.952351,0.273735,-1.40244,-0.989344,-0.0861676,-0.0614204,1.55279,0.715754,0.293188,-0.0203586,-0.0489009,0.204843,-0.610579,-0.0858671,-0.765324,0.649299,-0.797599,-0.374232,0.978901,0.450699,1,0.454971,0,0.890506,0.40944,0.798911,0.773425,0.131751,-0.223961,-0.389931,-0.574216,-0.0352805,0.635776,0.120043,-0.020022,-0.249996,-0.313355,-0.326569,0.0914275,-0.158511,-0.151417,-1.21362,-0.075017,1.07362,0.0920845,0.127958,-0.283023,0.183753,-0.556154,1,0.454971,0.454971,1
-261.267,0,7.07899,0,1,1,299.345,0.685943,0.661394,1.6143,1.10368,1.70717,-1.98407,-0.645248,0.543306,0.323523,0.124027,0.0565206,0.0769616,-0.999201,-1.48468,-0.162758,-1.27855,-1.79607,-0.305889,-0.690448,-0.0621798,1.84656,0.570815,-0.76506,-0.373217,0.325333,-0.21213,-0.426204,0.486323,-0.102027,0.253072,0.53086,0.27401,0.0724631,0.0607896,0.170073,-0.427441,0.0213554,0.0344644,0.158496,-0.345269,0.14936,-0.258232,-0.297269,-0.161365,-0.0665253,-0.556455,-0.232033,-0.594261,-0.435214,0.321783,-0.0358918,-0.546993,0.0566609,-0.952351,0.273735,-1.40244,-0.989344,-0.0861676,-0.0614204,1.55279,0.715754,0.293188,-0.0203586,-0.0489009,0.204843,-0.610579,-0.0858671,-0.765324,0.649299,-0.797599,-0.374232,0.978901,0.450699,1,0.454971,0,0.890506,0.40944,0.798911,0.773425,0.131751,-0.223961,-0.389931,-0.574216,-0.0352805,0.635776,0.120043,-0.020022,-0.249996,-0.313355,-0.326569,0.0914275,-0.158511,-0.151417,-1.21362,-0.075017,1.07362,0.0920845,0.127958,-0.283023,0.183753,-0.556154,1,0.454971,0.454971,1
-261.267,0,0.619587,0,1,1,300.291,0.685943,0.661394,1.6143,1.10368,1.70717,-1.98407,-0.645248,0.543306,0.323523,0.124027,0.0565206,0.0769616,-0.999201,-1.48468,-0.162758,-1.27855,-1.79607,-0.305889,-0.690448,-0.0621798,1.84656,0.570815,-0.76506,-0.373217,0.325333,-0.21213,-0.426204,0.486323,-0.102027,0.253072,0.53086,0.27401,0.0724631,0.0607896,0.170073,-0.427441,0.0213554,0.0344644,0.158496,-0.345269,0.14936,-0.258232,-0.297269,-0.161365,-0.0665253,-0.556455,-0.232033,-0.594261,-0.435214,0.321783,-0.0358918,-0.546993,0.0566609,-0.952351,0.273735,-1.40244,-0.989344,-0.0861676,-0.0614204,1.55279,0.715754,0.293188,-0.0203586,-0.0489009,0.204843,-0.610579,-0.0858671,-0.765324,0.649299,-0.797599,-0.374232,0.978901,0.450699,1,0.454971,0,0.890506,0.40944,0.798911,0.773425,0.131751,-0.223961,-0.389931,-0.574216,-0.0352805,0.635776,0.120043,-0.020022,-0.249996,-0.313355,-0.326569,0.0914275,-0.158511,-0.151417,-1.21362,-0.075017,1.07362,0.0920845,0.127958,-0.283023,0.183753,-0.556154,1,0.454971,0.454971,1
-235.843,0.954904,0.0308136,6,63,0,308.097,0.729949,0.589681,1.70879,0.942495,1.98826,-1.52119,-0.30426,0.977001,0.45994,0.122678,0.471643,0.242353,-0.64227,-1.22799,-0.544949,-1.20137,-1.84855,-0.305167,-0.761209,0.0885793,1.34989,0.595946,-0.65153,-0.0161671,0.201153,-0.129617,1.48321,1.029,0.743202,-0.967019,1.23073,2.96709,2.33854,-0.383969,0.726272,1.38559,-0.64557,-0.0397146,-0.67739,-1.25524,-0.925019,-0.831194,-0.742761,-0.748074,0.223389,0.216084,-0.899304,-0.161558,-1.39489,1.1226,1.42418,-0.609281,1.06633,-1.12134,0.216182,-0.301096,1.03658,-0.283269,0.989777,1.77155,-0.470215,0.798778,0.445635,0.35462,-0.32398,-0.530565,-1.42416,-0.7884,-1.38632,-0.647164,-0.398803,0.735989,0.215115,1,0.360672,0,0.932693,0.451204,0.0113291,0.290199,0.506521,-0.27491,-0.505955,-0.135856,-0.127812,0.799329,0.360412,0.160006,-0.239393,-0.355729,-0.292003,0.0196356,0.00877784,-0.0022976,0.00972279,0.00930106,0.00227013,0.00797269,-0.00197434,-0.0172164,-0.0178701,-0.00685833,1,0.360672,0.360672,1
-232.492,0.999581,0.018358,7,127,0,276.462,0.691802,0.699787,1.55169,0.968191,1.96603,-1.6293,-0.310078,0.894243,0.289991,0.273233,0.334905,0.203538,-0.743299,-1.27886,-0.377205,-0.964186,-1.65498,-0.29027,-0.819153,0.161264,1.24989,0.449388,-0.621325,-0.140162,0.361474,0.232367,0.320038,-0.0611614,0.530448,-1.20351,0.506,1.84634,0.627583,0.251593,-0.0680511,0.198486,-0.0521899,-0.01566,0.373951,-0.00613256,0.514383,-0.136853,-0.160944,0.0550693,-0.139144,-0.369161,-0.193842,-0.55983,-0.261156,1.41548,-0.662643,-0.0674934,0.718852,-1.51106,-2.20756,-0.517609,0.396286,0.515465,0.859273,2.00248,-0.947873,1.4707,-0.967043,0.425368,-1.56071,0.102692,-1.11024,0.535746,-2.28656,-0.147469,-0.0145127,0.497029,0.405771,1,0.0252161,0,0.999682,0.455146,0.0685937,0.473444,0.644249,-0.0307194,-0.687756,-0.235588,0.234612,0.911421,0.669384,0.193605,0.04674,0.243843,-0.06712,-0.0429904,0.0491763,-0.153991,0.0262788,0.0598136,-0.0615338,-0.0637681,-0.106285,-0.0759536,-0.155867,-0.00125024,1,0.0252161,0.0252161,1
-220.125,0.990616,0.0143619,7,127,0,270.938,0.662082,0.526532,1.0206,0.55199,0.49818,-0.913788,-0.0950339,0.279658,0.277874,0.189898,-0.183012,0.155174,-0.219591,-0.89122,0.220254,-0.703388,-0.653219,-0.247558,0.0205817,-0.360052,1.35468,0.597758,-0.320831,-0.0506213,0.179248,0.245098,0.711925,0.0980631,0.613334,-0.427899,0.252287,1.30298,0.669724,-0.0211002,-0.304567,0.0957812,-0.224472,-0.45354,0.371045,-0.789926,-0.00953985,-0.376969,-0.0981609,0.110724,-0.680791,0.0305845,-0.912558,-0.40563,-0.641919,1.5064,0.00775551,-0.0420442,1.13712,-1.60318,-1.8695,-0.625442,0.203255,0.668215,1.14061,2.03628,-1.00874,0.649228,-1.0656,0.33782,-1.75348,0.359173,-0.682831,0.0422647,-2.05148,-0.295798,0.602791,0.434583,0.219092,1,0.396953,0,0.917839,0.516166,0.0945966,0.327445,0.777554,-0.0217018,-0.827505,-0.322832,0.34491,1.05106,0.33511,0.174371,0.185393,0.0218156,-0.152681,0.0572395,0.0971509,-0.222518,-0.00583809,0.124125,-0.0111201,-0.068141,-0.139559,-0.0457993,-0.176532,0.0412296,1,0.396953,0.396953,1
-207.287,0.999231,0.0120596,7,255,0,255.126,0.632265,0.684859,1.19286,0.834497,1.48097,-1.08792,-0.307075,0.848589,0.2385,0.033153,0.0411408,0.223125,-0.498159,-1.05823,-0.0313733,-1.14469,-1.67559,-0.375349,-0.64494,-0.365425,1.03913,0.344127,-0.387154,-0.349872,0.265099,0.307087,0.826632,-0.00710837,0.618308,-0.495436,0.69351,1.68452,0.726919,-0.0899245,0.79796,0.810654,-0.303763,-0.0570233,-1.81435,-0.621465,-0.5613,-0.485685,-0.652747,-0.566375,0.531126,-0.236981,-0.226001,-1.00457,-0.830535,1.03308,-0.0532505,-0.286311,0.0850088,-1.7467,0.0851469,-1.42166,0.147118,0.152494,0.958614,1.82316,-0.834891,1.01563,-1.53677,0.255866,-0.788307,-0.621628,-0.272912,-0.606083,-0.374095,-0.512386,0.329387,0.744092,0.348349,1,-0.707991,0,0.706222,0.338794,0.12155,0.298204,0.35,-0.0970003,-0.591769,-0.481649,0.051664,0.617676,0.344089,0.0866857,-0.210604,-0.205337,-0.173593,-0.093474,0.0319362,0.157624,0.134972,0.0691658,-0.228563,-0.21932,-0.0896883,0.0300679,0.0200445,0.0723692,1,-0.707991,-0.707991,1
-206.209,0.996702,0.011102,8,255,0,242.919,0.695527,0.647857,1.1953,0.671092,1.3329,-0.847143,-0.396067,0.828218,0.39589,0.0307351,-0.0757051,0.116836,-0.502941,-0.708322,0.243033,-1.13123,-1.25095,-0.200292,-0.452063,-0.265362,1.32646,0.883134,-0.252407,-0.363124,0.308215,-0.508067,-0.0966468,-0.0557368,0.204124,0.341621,1.13092,1.8829,1.10886,0.229236,0.251949,-0.0531733,-0.446285,-0.36125,-0.0861213,-0.671601,-0.254473,-0.289307,-0.407715,-0.0405029,-0.392867,-0.416674,-0.316793,-0.138021,-0.500593,1.17243,0.970679,-0.301343,-0.196181,-0.712917,-0.198889,-0.0104308,-1.88114,0.224428,0.660428,1.69216,-0.279668,1.18177,-0.870679,0.793135,0.428827,0.114149,-1.33019,-0.489234,-1.25524,-1.13672,1.49953,0.669842,0.477541,1,0.806928,0,0.59065,0.464884,0.0243182,0.36703,0.545042,-0.14009,-0.331423,-0.0048491,0.104333,0.786657,0.549385,0.368716,0.0530662,-0.227437,-0.528444,0.0369489,-0.00873112,-0.0168463,-0.0272245,0.01389,0.0291882,0.0106838,0.0217232,-0.0168663,-0.02763,-0.000767463,1,0.806928,0.806928,1
-209.613,0.998365,0.0106176,9,511,0,251.7,0.666828,0.1482,1.21859,0.794192,1.1483,-1.47426,-0.298081,0.220212,0.0754917,0.203514,0.0680928,-0.0816012,-0.518671,-0.977317,-0.32979,-1.02217,-1.01191,-0.426039,-0.127026,0.155936,1.19339,0.347148,-0.480267,0.343675,0.583734,-0.0267163,1.52992,0.807234,0.858661,-1.23874,0.792912,1.25987,0.581172,0.961383,0.0735518,-0.0560548,-0.574807,-1.7685,-0.346392,-0.703371,-1.04126,0.269891,-0.169681,0.761223,0.850508,0.326226,0.324638,0.406893,0.257392,0.841596,-0.412227,-0.695762,-0.028374,-1.29553,0.652135,-0.512369,1.74337,0.315546,-0.349288,1.54269,-0.359248,0.243788,0.202106,-0.892762,-0.398837,-0.0293964,1.23396,-0.413034,0.806358,-1.91498,-0.789205,0.761786,-0.0534971,1,0.21071,0,0.977549,0.418028,0.279721,0.503725,0.351811,-0.290848,-0.541569,-0.214184,0.131907,0.644887,0.10191,-0.3732,-0.0122885,-0.172659,-0.800514,-0.0631161,-0.0487669,0.101962,0.44651,-0.0769114,-0.00730687,0.069633,-0.161678,0.335683,0.196147,-0.32867,1,0.21071,0.21071,1
-211.381,0.996933,0.0105467,8,511,0,243.057,0.668704,0.236292,1.30278,0.977197,1.30003,-1.4774,-0.379568,0.180678,0.205716,0.170143,0.0936633,-0.247518,-0.817502,-0.704533,-0.432495,-0.948513,-0.819454,-0.281699,-0.306892,0.116022,1.38807,0.533366,-0.697163,-0.0245362,0.54502,0.613279,0.803039,1.17318,1.50136,-1.19199,-0.336858,0.576067,-0.301452,0.313815,-0.496544,0.606965,-0.559391,0.0213254,-0.238219,-0.272555,-1.09103,-0.966337,-0.488242,0.255191,0.223083,0.527598,-1.50818,-0.349203,-0.771357,1.40946,0.574988,-0.974075,0.776157,-0.97896,-0.198851,-0.155674,1.70653,0.260845,0.968127,1.84861,-0.36178,0.833552,0.214204,0.437037,-1.00895,-0.939506,-0.4924,-0.202091,-0.727728,0.51093,0.720161,0.649379,0.132673,1,-0.379107,0,0.925353,0.398178,0.130097,0.455403,0.561218,-0.387856,-0.389801,-0.0619861,0.103863,0.736078,0.331902,0.174019,-0.374091,-0.0804681,0.203441,-0.000295386,0.141481,0.0243443,0.213121,0.103684,-0.134728,-0.0153243,-0.143018,-0.0129409,-0.0776411,0.0614979,1,-0.379107,-0.379107,1
