# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = rip_mei_meas_er_model
# start_datetime = 2024-11-09 16:32:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1500
#     num_warmup = 1500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 11
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpEx394J/standata-214b7c423f6b2e.json
# init = 2 (Default)
# random
#   seed = 1239
# output
#   file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/rip_mei_meas_er-202411091732-1-2c6d84.csv
#   diagnostic_file =  (Default)
#   refresh = 250
#   sig_figs = -1 (Default)
#   profile_file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/rip_mei_meas_er-profile-202411091732-1-2e3c9c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --O1 --name=rip_mei_meas_er_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,am.1,am.2,am.3,am.4,am.5,am.6,am.7,am.8,am.9,am.10,am.11,am.12,am.13,am.14,am.15,am.16,am.17,am.18,am.19,am.20,am.21,am.22,am.23,am.24,am_pred.1,am_pred.2,am_pred.3,am_pred.4,am_pred.5,am_pred.6,am_pred.7,am_pred.8,am_pred.9,am_pred.10,am_pred.11,am_pred.12,am_pred.13,am_pred.14,am_pred.15,am_pred.16,am_pred.17,am_pred.18,am_pred.19,am_pred.20,am_pred.21,am_pred.22,am_pred.23,am_pred.24,z_g.1.1,z_g.2.1,z_g.1.2,z_g.2.2,z_g.1.3,z_g.2.3,z_g.1.4,z_g.2.4,z_g.1.5,z_g.2.5,z_g.1.6,z_g.2.6,z_g.1.7,z_g.2.7,z_g.1.8,z_g.2.8,z_g.1.9,z_g.2.9,z_g.1.10,z_g.2.10,z_g.1.11,z_g.2.11,v_mu.1,v_mu.2,L_Rho_g.1.1,L_Rho_g.2.1,L_Rho_g.1.2,L_Rho_g.2.2,sigma_g.1,sigma_g.2,theta,v.1.1,v.2.1,v.3.1,v.4.1,v.5.1,v.6.1,v.7.1,v.8.1,v.9.1,v.10.1,v.11.1,v.1.2,v.2.2,v.3.2,v.4.2,v.5.2,v.6.2,v.7.2,v.8.2,v.9.2,v.10.2,v.11.2,Rho_g.1.1,Rho_g.2.1,Rho_g.1.2,Rho_g.2.2
-390.315,0.714566,0.0625,2,7,1,671.114,3.10857,-1.43557,-0.313768,1.79503,-0.798848,-0.624008,-1.31868,0.743685,-1.24591,-0.7452,1.59998,1.55522,1.77406,0.22563,1.53089,-0.911418,-1.56011,1.03998,0.222092,1.71644,1.01676,-1.12207,1.33767,0.474801,1.45636,-1.47382,-1.38975,-0.483734,0.690776,0.565427,-0.358533,-0.0479253,-0.148551,1.66717,1.94548,0.172462,-1.10744,1.81615,1.09909,0.703243,0.948539,0.197763,0.382287,0.769246,0.217079,1.86549,1.45788,0.174866,1.0496,0.084046,-1.42171,0.704914,-0.414767,0.244686,1.36782,1.79727,0.0362063,-0.890629,-0.491391,0.992203,1.88767,-0.517853,0.420063,-1.60721,1.48832,0.50291,1.71833,-0.135762,0.395696,0.00977901,1.17692,-0.182738,-0.969303,1,-0.396053,0,0.918228,0.316335,0.444072,3.92891,0.0265867,0.222989,0.0774029,0.56854,-0.281737,0.313869,-0.163815,-0.508418,0.159088,-0.0429462,0.00309344,-0.594497,-0.293103,0.514708,-0.301334,-0.0437289,0.595211,0.262363,0.889548,0.612214,0.185226,0.47818,1,-0.396053,-0.396053,1
-390.315,0,6.06053,0,1,1,431.229,3.10857,-1.43557,-0.313768,1.79503,-0.798848,-0.624008,-1.31868,0.743685,-1.24591,-0.7452,1.59998,1.55522,1.77406,0.22563,1.53089,-0.911418,-1.56011,1.03998,0.222092,1.71644,1.01676,-1.12207,1.33767,0.474801,1.45636,-1.47382,-1.38975,-0.483734,0.690776,0.565427,-0.358533,-0.0479253,-0.148551,1.66717,1.94548,0.172462,-1.10744,1.81615,1.09909,0.703243,0.948539,0.197763,0.382287,0.769246,0.217079,1.86549,1.45788,0.174866,1.0496,0.084046,-1.42171,0.704914,-0.414767,0.244686,1.36782,1.79727,0.0362063,-0.890629,-0.491391,0.992203,1.88767,-0.517853,0.420063,-1.60721,1.48832,0.50291,1.71833,-0.135762,0.395696,0.00977901,1.17692,-0.182738,-0.969303,1,-0.396053,0,0.918228,0.316335,0.444072,3.92891,0.0265867,0.222989,0.0774029,0.56854,-0.281737,0.313869,-0.163815,-0.508418,0.159088,-0.0429462,0.00309344,-0.594497,-0.293103,0.514708,-0.301334,-0.0437289,0.595211,0.262363,0.889548,0.612214,0.185226,0.47818,1,-0.396053,-0.396053,1
-390.315,0,0.506581,0,1,1,431.813,3.10857,-1.43557,-0.313768,1.79503,-0.798848,-0.624008,-1.31868,0.743685,-1.24591,-0.7452,1.59998,1.55522,1.77406,0.22563,1.53089,-0.911418,-1.56011,1.03998,0.222092,1.71644,1.01676,-1.12207,1.33767,0.474801,1.45636,-1.47382,-1.38975,-0.483734,0.690776,0.565427,-0.358533,-0.0479253,-0.148551,1.66717,1.94548,0.172462,-1.10744,1.81615,1.09909,0.703243,0.948539,0.197763,0.382287,0.769246,0.217079,1.86549,1.45788,0.174866,1.0496,0.084046,-1.42171,0.704914,-0.414767,0.244686,1.36782,1.79727,0.0362063,-0.890629,-0.491391,0.992203,1.88767,-0.517853,0.420063,-1.60721,1.48832,0.50291,1.71833,-0.135762,0.395696,0.00977901,1.17692,-0.182738,-0.969303,1,-0.396053,0,0.918228,0.316335,0.444072,3.92891,0.0265867,0.222989,0.0774029,0.56854,-0.281737,0.313869,-0.163815,-0.508418,0.159088,-0.0429462,0.00309344,-0.594497,-0.293103,0.514708,-0.301334,-0.0437289,0.595211,0.262363,0.889548,0.612214,0.185226,0.47818,1,-0.396053,-0.396053,1
-14.1646,0.903425,0.0245399,5,31,0,412.166,0.551068,0.378579,1.18081,0.718754,0.855378,-1.1443,-0.0990467,-0.0443393,0.519346,0.491337,-0.404283,0.033747,-0.545871,-1.18809,-0.364618,-0.862977,-0.514466,-0.641661,-0.848339,-0.383877,0.863956,0.605531,-0.483622,-0.466201,-0.157778,-1.29098,-0.824808,-1.14694,0.88149,0.114149,-0.0217992,-0.153736,-0.0637077,0.646848,0.856798,0.648303,0.375216,0.90504,0.00406313,1.02364,-0.136062,0.506412,0.440087,1.03273,-0.0614322,0.597764,0.731701,0.465114,0.767875,0.819538,-1.20757,1.18933,-0.563744,0.971029,0.640929,1.8746,-0.733444,-0.587272,0.273371,0.718164,1.49296,-0.677702,0.415631,-2.22482,1.48364,0.788252,0.520839,-1.00602,0.900548,0.62935,0.826937,-0.931649,-0.618102,1,-0.812697,0,0.582686,0.116631,0.0432192,13.6627,0.0955837,0.138713,0.113252,0.218636,-0.0684943,0.0837604,-0.0790413,-0.259484,0.0919348,-0.117333,0.0734019,-0.0591961,-0.0559711,-0.0179658,-0.0843139,0.0275117,0.0123728,0.0342706,0.115508,-0.0145702,0.0580143,-0.00128041,1,-0.812697,-0.812697,1
34.0419,0.999551,0.0124148,8,255,0,56.4757,0.881129,0.66892,1.218,1.0108,0.842074,-1.31292,-0.226822,0.0972845,0.511365,0.451985,-0.481137,-0.089554,-0.608821,-1.35527,-0.330876,-1.10073,-0.625325,-0.728394,-0.885555,-0.453537,1.02131,0.507807,-0.607797,-0.501451,-0.188281,2.53515,-0.000774162,2.02077,0.393408,-1.90669,-1.42769,1.35912,0.415336,-0.0203799,-0.530118,-0.946144,-0.576706,-1.46404,0.107881,-1.29509,-0.77617,-0.33712,-0.781124,-0.199883,0.746722,-0.599116,-0.743074,-0.051963,-0.0652252,0.601886,-0.305814,0.660177,-0.544511,-1.131,1.94238,1.34691,-0.9097,-0.510361,1.56509,-0.519066,0.939386,0.274294,-0.453102,-0.898116,-0.011685,-0.461554,0.449341,0.836028,0.778321,1.4687,-0.510703,-1.29065,-0.0125847,1,0.854534,0,0.519396,0.0943012,0.307994,15.1395,0.0567586,0.0622555,-0.106654,0.127015,-0.0481276,-0.0489485,0.0258662,-0.0846934,-0.043525,0.0788385,0.1385,0.10949,0.0866469,0.0130552,0.208969,0.116046,0.0136606,-0.000291373,-0.238245,-0.0495955,0.344543,0.304852,1,0.854534,0.854534,1
48.0217,0.994178,0.00954767,8,255,0,9.15065,0.870208,0.376679,1.35676,0.930364,0.860415,-1.30939,-0.249952,0.146658,0.401192,0.290351,-0.295129,0.126013,-0.508265,-1.45218,-0.434478,-1.10303,-0.763066,-0.696633,-0.917096,-0.444868,0.995062,0.747574,-0.45234,-0.430405,-0.230967,-0.292929,1.02601,1.09497,1.35258,-0.72288,-0.973913,0.128984,0.855728,0.494281,0.844071,0.320261,-0.196974,-0.427274,-0.759359,0.0823504,-1.08536,-0.860401,-1.10082,0.376616,1.96948,1.0954,0.141994,-0.296165,-0.30031,0.594749,-0.776959,0.146069,1.02361,-1.06086,1.82047,-0.146036,0.920233,-1.03595,1.75805,0.755236,-0.587329,-0.267542,0.116974,-0.95338,-0.853323,-1.01179,-0.383233,-1.17221,-1.40782,0.998392,0.7351,-1.29479,0.0738276,1,-0.585465,0,0.810698,0.186225,0.0153339,17.5994,0.110757,0.0272016,-0.197559,-0.0271955,-0.19292,0.140644,-0.0498229,-0.177543,-0.18842,-0.218294,0.185926,-0.0149979,0.0114134,0.0321544,0.0127506,0.0311549,-0.0140813,0.00385598,-0.00204886,0.00431926,-0.0069774,0.000175113,1,-0.585465,-0.585465,1
58.1639,0.999179,0.00801626,8,511,0,-24.9396,0.548865,0.321506,1.35191,0.900108,1.03729,-1.38067,-0.373258,0.182967,0.298585,0.206932,-0.193924,0.0731678,-0.382593,-1.38795,-0.44901,-0.938032,-0.750769,-0.616816,-1.02612,-0.346207,1.07961,0.712769,-0.385274,-0.371231,-0.114505,-0.145875,0.966683,1.11923,1.42074,-0.768162,-0.765955,-0.0175323,0.823885,0.273618,0.756614,0.418049,-0.331791,-0.432543,-0.750619,-0.025982,-1.22237,-0.838436,-1.1167,0.374265,1.98309,1.20689,0.244426,-0.348957,-0.487095,0.501353,-0.620263,0.332217,1.02881,-1.08395,1.77866,-0.0822638,1.0322,-0.851406,1.6852,0.822067,-0.451898,-0.210235,0.269542,-0.953105,-0.974386,-0.906265,-0.353606,-1.16068,-1.34777,1.01546,0.960352,-1.09979,0.202575,1,-0.511339,0,0.859379,0.160711,0.0168587,17.4073,0.0805728,0.0533908,-0.174202,-0.0132207,-0.13683,0.132115,-0.033787,-0.153174,-0.145646,-0.186534,0.163195,-0.0133083,0.0120415,0.0351133,0.0156637,0.0317548,-0.0136337,0.00571745,-0.00590066,0.00268942,-0.00952085,0.00515979,1,-0.511339,-0.511339,1
85.0597,1,0.00732869,8,255,0,-19.1515,0.549261,0.698844,0.799149,0.861066,1.38942,-1.02148,-0.496834,0.407499,0.232086,0.0336783,0.340313,0.160478,-0.655345,-0.661728,0.317808,-0.666865,-1.83266,-0.091226,-0.041434,0.372425,1.36729,0.275083,-0.377779,-0.108991,0.632909,-0.589998,0.818017,1.04615,0.971153,-0.0446625,-0.781032,0.234657,0.921138,0.421847,0.677925,-0.293187,-0.573573,-0.425807,-0.816486,-0.00675884,-1.48858,-1.08834,-1.18746,0.0116366,0.336433,1.23735,0.547622,0.20243,-0.672872,0.324421,-0.397676,-0.0401608,0.752649,-0.910019,1.10976,0.282973,0.17519,-1.06963,1.5436,1.26122,-0.235483,-0.999649,0.0761956,-1.93121,-1.41238,-0.398221,-0.787928,0.749389,-0.540726,0.939358,0.651357,-1.28294,0.131819,1,0.0545668,0,0.99851,0.348977,0.0227696,27.367,0.113216,-0.0140152,-0.317576,0.0987512,-0.373276,0.440136,-0.348855,-0.673949,-0.13897,0.26152,0.327815,-0.00863834,0.0170621,0.0241004,0.00433465,0.0337659,-0.00378683,0.00049033,-0.0345108,-0.0184088,-0.0113627,0.0159761,1,0.0545668,0.0545668,1
94.2809,1,0.0070536,8,511,0,-49.202,0.552728,0.290113,1.31902,0.865524,0.92361,-1.30287,-0.305796,0.315132,0.239847,0.179733,-0.18827,-0.0709728,-0.524236,-1.28757,-0.433006,-1.00202,-0.683672,-0.557405,-0.812978,-0.363835,1.13368,0.642276,-0.4497,-0.301527,-0.0882189,-0.534934,0.751427,0.508211,0.499066,-0.595718,-0.799421,0.570479,0.802635,-1.27441,0.964777,-0.332285,-0.787627,-0.400616,-0.00467772,-0.624344,-0.889963,-0.317816,-1.08331,-0.0932312,1.2913,0.549532,-0.187937,-0.0407623,-0.193629,1.36557,0.185432,-0.231692,-0.261222,-0.201217,1.78152,1.1257,0.480768,-0.648091,1.74162,0.692097,0.285044,-1.80107,0.341608,-2.0683,-1.04985,-1.33323,-1.07025,1.39949,-0.101771,0.716496,0.756605,-1.3369,0.0720269,1,0.0416105,0,0.999134,0.306911,0.0272869,25.8461,0.419107,-0.0711089,-0.0617557,0.345491,-0.198906,0.212412,-0.552767,-0.634784,-0.409184,0.42952,0.2199,0.00660597,-0.00738482,0.0483414,0.0143854,0.0467464,0.00855703,0.00726837,-0.0309706,-0.0306923,-0.0011856,0.021441,1,0.0416105,0.0416105,1
101.526,0.999989,0.00702886,8,255,0,-54.4009,0.677265,0.363785,1.45624,0.99217,0.993245,-1.25303,-0.397384,0.343623,0.218145,0.362066,-0.325854,0.064393,-0.583503,-1.21811,-0.405268,-0.969221,-0.668344,-0.585412,-0.766263,-0.44969,1.17056,0.693111,-0.316503,-0.483641,-0.0281769,0.633002,1.37175,1.01578,1.30482,-0.516852,-1.30047,0.92752,0.904303,0.609657,0.288734,0.711291,-1.04489,-0.735218,0.725122,0.108343,-0.97781,-1.49177,-0.887605,-0.824187,2.16576,1.56215,0.174503,-0.868981,-0.174507,-0.25271,-1.28234,-2.30223,0.392584,-1.67555,1.39306,0.270018,0.931847,-0.688971,1.97384,0.185238,-1.1064,-1.34448,-0.504278,-2.04269,-1.29252,-1.41445,-1.18188,0.79427,0.51343,0.945897,2.1132,-1.02886,0.0420494,1,-0.735621,0,0.677393,0.356918,0.0682186,27.0098,-0.0901968,-0.821708,-0.598034,0.0963744,-0.245906,0.0661148,-0.47987,-0.729073,-0.504841,0.283489,0.337607,-0.046576,0.133675,0.148459,0.029511,0.125787,-0.0604232,0.0441672,0.0427803,0.0163658,-0.0161329,0.0501849,1,-0.735621,-0.735621,1
