# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = rip_mei_meas_er_model
# start_datetime = 2024-11-09 16:32:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1500
#     num_warmup = 1500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 11
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpEx394J/standata-214b7c423f6b2e.json
# init = 2 (Default)
# random
#   seed = 1239
# output
#   file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/rip_mei_meas_er-202411091732-4-2c6d84.csv
#   diagnostic_file =  (Default)
#   refresh = 250
#   sig_figs = -1 (Default)
#   profile_file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/rip_mei_meas_er-profile-202411091732-4-2e3c9c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --O1 --name=rip_mei_meas_er_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,am.1,am.2,am.3,am.4,am.5,am.6,am.7,am.8,am.9,am.10,am.11,am.12,am.13,am.14,am.15,am.16,am.17,am.18,am.19,am.20,am.21,am.22,am.23,am.24,am_pred.1,am_pred.2,am_pred.3,am_pred.4,am_pred.5,am_pred.6,am_pred.7,am_pred.8,am_pred.9,am_pred.10,am_pred.11,am_pred.12,am_pred.13,am_pred.14,am_pred.15,am_pred.16,am_pred.17,am_pred.18,am_pred.19,am_pred.20,am_pred.21,am_pred.22,am_pred.23,am_pred.24,z_g.1.1,z_g.2.1,z_g.1.2,z_g.2.2,z_g.1.3,z_g.2.3,z_g.1.4,z_g.2.4,z_g.1.5,z_g.2.5,z_g.1.6,z_g.2.6,z_g.1.7,z_g.2.7,z_g.1.8,z_g.2.8,z_g.1.9,z_g.2.9,z_g.1.10,z_g.2.10,z_g.1.11,z_g.2.11,v_mu.1,v_mu.2,L_Rho_g.1.1,L_Rho_g.2.1,L_Rho_g.1.2,L_Rho_g.2.2,sigma_g.1,sigma_g.2,theta,v.1.1,v.2.1,v.3.1,v.4.1,v.5.1,v.6.1,v.7.1,v.8.1,v.9.1,v.10.1,v.11.1,v.1.2,v.2.2,v.3.2,v.4.2,v.5.2,v.6.2,v.7.2,v.8.2,v.9.2,v.10.2,v.11.2,Rho_g.1.1,Rho_g.2.1,Rho_g.1.2,Rho_g.2.2
-2672.8,1,0.0078125,2,3,0,9007.69,0.347531,-1.42298,0.481154,1.1299,-0.297229,1.70669,-0.766102,1.13792,0.503091,-1.30196,1.69755,-1.35931,-1.32924,-0.95575,0.184331,0.206673,-0.346515,0.603466,1.815,-1.52012,-0.950295,0.69187,1.40513,-0.47015,-0.154334,1.03568,-0.951449,0.381708,0.330715,1.35754,-0.0430306,1.86554,-1.77398,0.336043,-1.58894,-0.885656,-1.604,1.18276,1.18414,0.536052,-1.09504,0.75845,0.024568,0.903023,1.10581,-0.631151,0.341258,-1.40503,-1.86444,0.975203,1.65897,1.23842,-1.76618,0.252062,-1.61563,-1.11291,-0.639255,-0.852955,1.69257,-1.24094,0.865615,1.24975,0.971378,1.02375,-1.12906,-0.0506683,-1.27943,-1.92922,0.802563,-1.95657,-1.77266,-0.22737,0.0914239,1,0.55725,0,0.830345,0.187805,0.15418,0.234096,0.183149,0.232583,0.0473386,-0.209011,-0.16019,-0.233055,0.234709,0.192266,-0.00951578,-0.362319,-0.367454,0.296171,-0.119709,-0.18518,-0.177457,0.143403,0.00420079,0.231732,-0.0565874,-0.168149,-0.0630065,-0.395042,1,0.55725,0.55725,1
-2672.8,0,10.1835,0,1,1,2712.23,0.347531,-1.42298,0.481154,1.1299,-0.297229,1.70669,-0.766102,1.13792,0.503091,-1.30196,1.69755,-1.35931,-1.32924,-0.95575,0.184331,0.206673,-0.346515,0.603466,1.815,-1.52012,-0.950295,0.69187,1.40513,-0.47015,-0.154334,1.03568,-0.951449,0.381708,0.330715,1.35754,-0.0430306,1.86554,-1.77398,0.336043,-1.58894,-0.885656,-1.604,1.18276,1.18414,0.536052,-1.09504,0.75845,0.024568,0.903023,1.10581,-0.631151,0.341258,-1.40503,-1.86444,0.975203,1.65897,1.23842,-1.76618,0.252062,-1.61563,-1.11291,-0.639255,-0.852955,1.69257,-1.24094,0.865615,1.24975,0.971378,1.02375,-1.12906,-0.0506683,-1.27943,-1.92922,0.802563,-1.95657,-1.77266,-0.22737,0.0914239,1,0.55725,0,0.830345,0.187805,0.15418,0.234096,0.183149,0.232583,0.0473386,-0.209011,-0.16019,-0.233055,0.234709,0.192266,-0.00951578,-0.362319,-0.367454,0.296171,-0.119709,-0.18518,-0.177457,0.143403,0.00420079,0.231732,-0.0565874,-0.168149,-0.0630065,-0.395042,1,0.55725,0.55725,1
-2672.8,0,0.99273,0,1,1,2713.21,0.347531,-1.42298,0.481154,1.1299,-0.297229,1.70669,-0.766102,1.13792,0.503091,-1.30196,1.69755,-1.35931,-1.32924,-0.95575,0.184331,0.206673,-0.346515,0.603466,1.815,-1.52012,-0.950295,0.69187,1.40513,-0.47015,-0.154334,1.03568,-0.951449,0.381708,0.330715,1.35754,-0.0430306,1.86554,-1.77398,0.336043,-1.58894,-0.885656,-1.604,1.18276,1.18414,0.536052,-1.09504,0.75845,0.024568,0.903023,1.10581,-0.631151,0.341258,-1.40503,-1.86444,0.975203,1.65897,1.23842,-1.76618,0.252062,-1.61563,-1.11291,-0.639255,-0.852955,1.69257,-1.24094,0.865615,1.24975,0.971378,1.02375,-1.12906,-0.0506683,-1.27943,-1.92922,0.802563,-1.95657,-1.77266,-0.22737,0.0914239,1,0.55725,0,0.830345,0.187805,0.15418,0.234096,0.183149,0.232583,0.0473386,-0.209011,-0.16019,-0.233055,0.234709,0.192266,-0.00951578,-0.362319,-0.367454,0.296171,-0.119709,-0.18518,-0.177457,0.143403,0.00420079,0.231732,-0.0565874,-0.168149,-0.0630065,-0.395042,1,0.55725,0.55725,1
-2672.8,0,0.0525042,0,1,1,2729.03,0.347531,-1.42298,0.481154,1.1299,-0.297229,1.70669,-0.766102,1.13792,0.503091,-1.30196,1.69755,-1.35931,-1.32924,-0.95575,0.184331,0.206673,-0.346515,0.603466,1.815,-1.52012,-0.950295,0.69187,1.40513,-0.47015,-0.154334,1.03568,-0.951449,0.381708,0.330715,1.35754,-0.0430306,1.86554,-1.77398,0.336043,-1.58894,-0.885656,-1.604,1.18276,1.18414,0.536052,-1.09504,0.75845,0.024568,0.903023,1.10581,-0.631151,0.341258,-1.40503,-1.86444,0.975203,1.65897,1.23842,-1.76618,0.252062,-1.61563,-1.11291,-0.639255,-0.852955,1.69257,-1.24094,0.865615,1.24975,0.971378,1.02375,-1.12906,-0.0506683,-1.27943,-1.92922,0.802563,-1.95657,-1.77266,-0.22737,0.0914239,1,0.55725,0,0.830345,0.187805,0.15418,0.234096,0.183149,0.232583,0.0473386,-0.209011,-0.16019,-0.233055,0.234709,0.192266,-0.00951578,-0.362319,-0.367454,0.296171,-0.119709,-0.18518,-0.177457,0.143403,0.00420079,0.231732,-0.0565874,-0.168149,-0.0630065,-0.395042,1,0.55725,0.55725,1
-1026.56,1,0.00212378,4,15,0,2702,0.576189,-1.39807,0.489763,1.14329,-0.294864,1.66432,-0.751002,1.14112,0.516113,-1.27404,1.65909,-1.3664,-1.30862,-0.979413,0.212797,0.188568,-0.342672,0.592702,1.80715,-1.52427,-0.946761,0.693752,1.39639,-0.467865,-0.144048,1.06041,-0.948482,0.386234,0.334444,1.35854,-0.0650372,1.87587,-1.78583,0.335438,-1.60303,-0.875633,-1.61066,1.16007,1.19669,0.533003,-1.11321,0.776653,0.0308046,0.907593,1.12963,-0.623252,0.345861,-1.40936,-1.89556,0.968723,1.67225,1.25724,-1.76483,0.256373,-1.62188,-1.12397,-0.620141,-0.847823,1.68345,-1.22433,0.882556,1.28732,0.955137,1.03601,-1.12221,-0.0702191,-1.27171,-1.95393,0.770267,-1.97159,-1.75671,-0.224154,0.105247,1,0.549121,0,0.835743,0.187189,0.154837,0.235752,0.181334,0.235341,0.0479902,-0.210394,-0.158703,-0.22918,0.240971,0.19393,-0.0131442,-0.365754,-0.369059,0.298761,-0.121479,-0.18808,-0.175813,0.145759,0.0101089,0.233051,-0.0571325,-0.170534,-0.0664561,-0.394958,1,0.549121,0.549121,1
-487.698,1,0.00151458,5,31,0,1066.34,1.08553,-1.36902,0.502307,1.14467,-0.282125,1.58974,-0.766381,1.13449,0.448372,-1.27173,1.65693,-1.34172,-1.30982,-0.954539,0.243921,0.162022,-0.358897,0.538221,1.74236,-1.51936,-0.973874,0.638328,1.3333,-0.418707,-0.142756,1.08821,-0.923889,0.383154,0.345613,1.36764,-0.00379617,1.82009,-1.79747,0.33494,-1.58116,-0.863133,-1.638,1.18302,1.13378,0.557602,-1.10259,0.742129,0.0864156,0.917801,1.10201,-0.634022,0.291466,-1.46455,-1.91547,1.01537,1.64605,1.29166,-1.75233,0.21442,-1.61672,-1.11774,-0.649557,-0.857264,1.68244,-1.20848,0.840898,1.32974,1.00074,1.03276,-1.14223,-0.0957528,-1.22979,-1.9392,0.792422,-1.93913,-1.74136,-0.260928,0.0877236,1,0.582332,0,0.812951,0.189126,0.148909,0.241954,0.192032,0.244286,0.0405523,-0.211393,-0.162131,-0.228555,0.251488,0.195321,-0.0181093,-0.366753,-0.36674,0.287311,-0.100124,-0.17712,-0.175557,0.129332,-0.0029973,0.236454,-0.0487184,-0.157177,-0.0722299,-0.378953,1,0.582332,0.582332,1
-297.174,0.999662,0.00123179,10,1023,0,523.787,1.66146,2.16991,1.26276,0.710535,2.37217,-3.0499,0.178689,-0.0949434,-0.290724,1.46085,-1.58602,1.10666,0.0364487,-1.06731,0.0349058,-1.51362,-1.73814,-0.885015,-1.55845,1.37917,2.91743,0.289375,-1.83057,-0.352292,0.606004,0.8982,-0.648019,1.24209,-0.209294,1.59294,0.161646,0.954991,-1.19181,0.401472,-1.91113,-0.239703,-1.68622,-0.750888,2.15335,0.683971,0.802715,0.694803,1.23264,0.377737,1.24534,-1.05964,0.755273,-0.648531,-0.0975503,2.09461,0.726699,0.713052,-0.87896,0.845988,-1.20916,-0.303396,1.07024,-0.296169,0.89737,0.345562,1.59111,0.416277,0.915082,0.12803,-1.55417,1.2394,-1.67359,-0.576252,1.38385,-0.516828,-1.52124,-0.921057,0.490969,1,-0.397223,0,0.917722,0.0024359,0.0361207,1.09504,0.00510226,0.00173693,0.00206075,-0.000739044,-0.000721439,0.000841756,0.00101401,0.000311869,0.00301906,-0.00140369,-0.00125894,-0.00596419,-0.0393673,-0.0522205,0.0398304,0.0339962,0.0477853,0.0243611,-0.0533559,-0.0732603,0.0541409,-0.0430119,1,-0.397223,-0.397223,1
-180.424,0.999969,0.00109333,9,511,0,331.64,0.99894,1.88759,1.16569,0.883177,2.1798,-2.9529,0.342031,-0.0361269,-0.615616,1.50926,-1.36247,1.17069,0.061629,-1.44019,-0.248671,-1.48494,-1.66874,-0.760318,-1.61301,1.23818,2.423,0.280209,-1.51196,-0.340952,0.688072,1.08239,-0.50835,1.32025,-0.445861,1.54887,0.365822,0.977981,-1.09228,0.416137,-2.02434,0.0148802,-1.69175,-1.01468,1.93398,0.681318,0.885157,0.65428,1.08395,0.371068,1.23971,-1.16979,0.834313,-0.486451,-0.154406,2.25705,0.745328,0.630105,-1.12287,0.710142,-1.04485,-0.0848271,1.18081,-0.509181,0.896894,0.357086,1.54872,0.438393,0.861565,0.224426,-1.4461,1.21724,-1.55977,-0.69364,1.45097,-0.454576,-1.33579,-0.64425,0.0506345,1,-0.0645046,0,0.997917,0.00226704,0.0518705,2.97087,0.00511681,0.00142847,0.00160992,-0.000192306,-0.00115433,0.000809527,0.000993852,0.000508782,0.00275953,-0.00157251,-0.00103054,0.0310282,-0.0602306,-0.05646,0.0614057,0.0481291,0.0789707,0.0431299,-0.0756044,-0.0848103,0.0774264,-0.0676231,1,-0.0645046,-0.0645046,1
-29.4105,0.999995,0.00103304,10,1023,0,217.659,0.900039,0.984806,1.10632,0.578366,1.69833,-2.13505,0.464648,0.255576,-0.500413,0.575567,-0.902611,0.512351,-0.368065,-1.04458,-0.413654,-1.26804,-1.45067,-0.979967,-1.07706,0.68062,1.83873,0.021471,-1.34942,-0.668238,0.550489,0.710784,-0.233082,0.959639,0.148274,1.28224,0.664692,0.907786,-0.990828,0.39209,-2.12977,-0.281327,-1.88382,-0.879574,1.91797,0.320763,1.79865,0.179109,1.10079,0.30991,1.42215,-1.26982,0.487069,-0.031518,-0.364498,2.49579,0.692373,0.478267,-1.0055,0.811711,-1.1337,0.0997556,0.809266,0.00887488,0.917717,0.476998,1.2316,0.879434,1.41949,0.166718,-1.20692,1.27621,-1.79794,-0.908161,0.924096,-0.0842627,-1.44427,-1.33948,-0.0650665,1,0.088379,0,0.996087,0.00277889,0.0564178,17.5903,0.00693554,0.00132905,0.00225566,0.00027721,2.46623e-05,0.00132552,0.00244385,0.000463291,0.00354644,-0.00252368,-0.000234157,0.0513537,-0.0541214,-0.0596634,0.0459757,0.0516173,0.0715904,0.084156,-0.066994,-0.0946756,0.0474032,-0.0815841,1,0.088379,0.088379,1
29.6867,0.999998,0.00101988,11,2047,0,64.8889,0.756702,-0.220812,0.836557,1.06113,1.20578,-0.120568,-0.495343,0.294676,0.393197,-0.0138242,0.018558,-0.0215926,-0.494334,-0.61563,0.764038,-0.590333,-1.01942,0.227847,0.0497601,-0.257185,1.44004,0.605281,-0.100262,-0.0408492,0.669614,0.345332,1.19198,0.5121,0.963983,-0.688368,-0.0982935,-0.628881,-0.134221,0.712667,-1.46866,0.169139,0.861873,-1.48584,1.07671,0.0304623,-0.0262999,0.369341,0.355953,0.122353,2.20329,-1.43379,-0.126109,-0.582601,0.200921,1.59236,0.133408,1.83244,-0.739541,0.959407,-0.497058,-1.03658,1.55595,0.408401,0.124859,0.736596,0.328473,0.50298,2.25729,-0.451649,-1.44124,-0.190925,0.314195,0.3999,0.983525,-0.804301,-2.20185,-1.23275,0.111082,1,-0.162355,0,0.986732,0.00330129,0.0643905,15.5053,0.00525686,0.00604942,0.00316728,-0.00342206,0.00134825,0.00243172,0.00166048,-0.00149103,-0.0006303,0.00132019,-0.00265523,-0.00817049,-0.0661442,-0.0416109,0.109696,0.00366361,0.0131695,0.138161,-0.0868491,0.0219587,0.0583089,-0.131489,1,-0.162355,-0.162355,1
