Q,Ind,React,Note
1,Forest Green,u,
2,Forest Green,u,
3,Forest Green,i,
4,Forest Green,w,
5,Forest Green,i,
6,Forest Green,i,
7,Forest Green,u,
8,Forest Green,c,NA
9,Forest Green,c,NA
10,Forest Green,u,
,,,
11,Forest Green,c,
12,Forest Green,uw,
13,Forest Green,u,
14,Forest Green,w,!
15,Forest Green,w,
16,Forest Green,w,
17,Forest Green,w,
18,Forest Green,u,
19,Forest Green,uw,
20,Forest Green,i,
,,,
21,Forest Green,u,
22,Forest Green,w,!
23,Forest Green,w,
24,Forest Green,u,
25,Forest Green,u,
26,Forest Green,u,
27,Forest Green,,NA
28,Forest Green,u,
29,Forest Green,i,
30,Forest Green,i,
,,,
31,Forest Green,i,
32,Forest Green,w,
33,Forest Green,i,
34,Forest Green,i,
35,Forest Green,i,
36,Forest Green,u,
37,Forest Green,w,
38,Forest Green,w,!
39,Forest Green,i,
40,Forest Green,i,
,,,
41,Forest Green,i,
42,Forest Green,i,
43,Forest Green,i,
44,Forest Green,i,
45,Forest Green,,
,,,
,,,
1,Pink,b,
2,Pink,uc,
3,Pink,i,
4,Pink,b,
5,Pink,b,
6,Pink,,
7,Pink,,
8,Pink,,
9,Pink,,
10,Pink,u,
,,,
11,Pink,u,
12,Pink,i,
13,Pink,i,
14,Pink,i,
15,Pink,i,
16,Pink,u,
17,Pink,b,
18,Pink,i,
19,Pink,w,
20,Pink,u,
,,,
21,Pink,w,
22,Pink,i,
23,Pink,u,
24,Pink,i,
25,Pink,i,
26,Pink,i,
27,Pink,,
28,Pink,,
29,Pink,i,
30,Pink,i,
,,,
31,Pink,,
32,Pink,w,
33,Pink,i,
34,Pink,i,
35,Pink,u,
36,Pink,,
37,Pink,u,
38,Pink,i,
39,Pink,i,
40,Pink,i,
,,,
41,Pink,i,
42,Pink,u,
43,Pink,i,
44,Pink,i,
45,Pink,w,
,,,
1,Green,i,
2,Green,u,
3,Green,,
4,Green,,
5,Green,u,
6,Green,,
7,Green,,
8,Green,,
9,Green,,
10,Green,u,
,,,
11,Green,,
12,Green,u,
13,Green,,
14,Green,,
15,Green,,
16,Green,,
17,Green,w,
18,Green,i,
19,Green,,
20,Green,,
,,,
21,Green,w,
22,Green,,
23,Green,,
24,Green,u,
25,Green,w,
26,Green,,
27,Green,,
28,Green,,
29,Green,,
30,Green,,
,,,
31,Green,,
32,Green,,
33,Green,,
34,Green,,
35,Green,i,
36,Green,i,
37,Green,u,
38,Green,,
39,Green,u,
40,Green,,
,,,
41,Green,,
42,Green,,
43,Green,,
44,Green,,
45,Green,,
,,,
1,Dark Blue,i,
2,Dark Blue,b,
3,Dark Blue,i,
4,Dark Blue,u,
5,Dark Blue,i,
6,Dark Blue,u,
7,Dark Blue,i,
8,Dark Blue,b,
9,Dark Blue,b,
10,Dark Blue,w,
,,,
11,Dark Blue,b,
12,Dark Blue,i,
13,Dark Blue,i,
14,Dark Blue,u,
15,Dark Blue,u,
16,Dark Blue,uw,
17,Dark Blue,i,
18,Dark Blue,i,
19,Dark Blue,i,
20,Dark Blue,w,
,,,
21,Dark Blue,iw,
22,Dark Blue,i,
23,Dark Blue,b,
24,Dark Blue,i,
25,Dark Blue,i,
26,Dark Blue,i,
27,Dark Blue,b,
28,Dark Blue,b,
29,Dark Blue,w,
30,Dark Blue,i,
,,,
31,Dark Blue,i,
32,Dark Blue,b,
33,Dark Blue,i,
34,Dark Blue,ic,
35,Dark Blue,i,
36,Dark Blue,i,
37,Dark Blue,b,
38,Dark Blue,i,
39,Dark Blue,i,
40,Dark Blue,b,
,,,
41,Dark Blue,i,
42,Dark Blue,u,
43,Dark Blue,iuw,
44,Dark Blue,i,
45,Dark Blue,,
,,,
1,Yellow,i,
2,Yellow,u,
3,Yellow,i,
4,Yellow,u,
5,Yellow,b,
6,Yellow,u,
7,Yellow,u,
8,Yellow,b,
9,Yellow,b,
10,Yellow,w,
,,,
11,Yellow,i,
12,Yellow,w,
13,Yellow,i,
14,Yellow,b,
15,Yellow,b,
16,Yellow,w,
17,Yellow,w,
18,Yellow,u,
19,Yellow,i,
20,Yellow,u,
,,,
21,Yellow,,
22,Yellow,w,
23,Yellow,u,
24,Yellow,b,
25,Yellow,i,
26,Yellow,b,
27,Yellow,b,
28,Yellow,b,
29,Yellow,i,
30,Yellow,i,
,,,
31,Yellow,b,
32,Yellow,w,
33,Yellow,ib,
34,Yellow,b,
35,Yellow,b,
36,Yellow,b,
37,Yellow,b,
38,Yellow,b,
39,Yellow,i,
40,Yellow,b,
,,,
41,Yellow,i,
42,Yellow,b,
43,Yellow,i,
44,Yellow,b,
45,Yellow,,
,,,
1,Blue Circle,i,
2,Blue Circle,u,
3,Blue Circle,u,
4,Blue Circle,w,
5,Blue Circle,b,
6,Blue Circle,u,
7,Blue Circle,i,
8,Blue Circle,c,
9,Blue Circle,i,
10,Blue Circle,iu,
,,,
11,Blue Circle,i,
12,Blue Circle,u,
13,Blue Circle,b,
14,Blue Circle,u,
15,Blue Circle,i,
16,Blue Circle,w,
17,Blue Circle,w,
18,Blue Circle,b,
19,Blue Circle,i,
20,Blue Circle,w,
,,,
21,Blue Circle,i,
22,Blue Circle,i,
23,Blue Circle,u,
24,Blue Circle,i,
25,Blue Circle,i,
26,Blue Circle,u,
27,Blue Circle,u,
28,Blue Circle,i,
29,Blue Circle,u,
30,Blue Circle,b,
,,,
31,Blue Circle,i,
32,Blue Circle,u,
